Application_Name,Num_Blocks,MTBF_Input,MTTR_Input,System_MTBF,System_MTTR
None,1,987137.8067,1,987137.8066,1
None,2,987137.8067,1,493568.9033,2
None,4,987137.8067,1,246784.4517,4
None,8,987137.8067,1,123392.2258,8
None,16,987137.8067,1,61696.11299,16
None,32,987137.8067,1,30848.05655,32
None,64,987137.8067,1,15424.02829,64
RM,1,1157597.828,1,1157597.828,1
RM,2,1157597.828,1,578798.9141,2
RM,4,1157597.828,1,289399.4571,4
RM,8,1157597.828,1,144699.7285,8
RM,16,1157597.828,1,72349.86416,16
RM,32,1157597.828,1,36174.93200,32
RM,64,1157597.828,1,18087.46598,64
WSM,1,2025612.832,1,2025612.832,1
WSM,2,2025612.832,1,1012806.416,2
WSM,4,2025612.832,1,506403.2080,4
WSM,8,2025612.832,1,253201.6041,8
WSM,16,2025612.832,1,126600.8021,16
WSM,32,2025612.832,1,63300.40089,32
WSM,64,2025612.832,1,31650.20039,64
